"Date of Download: 2023-06-08_18:44:58"
"Search Parameters: Data Level:all  Trait List:  Trial List:11382,11426,11456,11457,10546,10547  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","branching level counting|CO_334:0000079","dry matter content by specific gravity method|CO_334:0000160","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","non marketable root number counting|CO_334:0000168","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","166651","GM214-62","","plot","4826289","202070CQPEA_boli_rep2_GM214-62_12","2","2","12","2","3","test","","2","41.1212962962963","113.8","51.28","32.74","25.64","1","5","1","44","21.24","","9","20","2","339.4","12.8","5","2","1","2","1","68","3125","425","0","20","2","2","2","1"," (Operator: lizbethpino, Time: ), Plantas de ramificación media a baja con raíces cortas de buen grosor (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","323528","GM3594-70","","plot","4826291","202070CQPEA_boli_rep2_GM3594-70_16","2","2","16","5","4","test","","4","33.1664285714286","73.6666666666667","13.88","6.98","6.94","1","5","1","11","6.46","","5","20","4","369","29","3","3","1","3","3","13","2945","285","0","18","2","2","1","5"," (Operator: lizbethpino, Time: ), Raíces mayor a 30cm, alargadas y fusiformes en su mayoría (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","322010","GM3650-51","","plot","4826310","202070CQPEA_boli_rep2_GM3650-51_20","2","2","20","1","4","test","","4","30.6234790528233","100","75.36","37.04","37.68","1","5","1","44","35.26","","12","20","3","344.4","24","5","2","1","2","3","56","2995","250","0","20","3","2","1","6"," (Operator: lizbethpino, Time: ), Tallo principal muy grueso, ramificación extendida (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","309095","GM3790-2","","plot","4826294","202070CQPEA_boli_rep2_GM3790-2_17","2","2","17","4","4","test","","3","39.6212426035503","114.6","63.08","22.8","31.54","1","5","1","40","28.8","","10","20","1","307","41","5","1","1","1","3","55","2910","375","0","20","2","2","1","3"," (Operator: lizbethpino, Time: ), Raíces alargadas (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","2486737","P13","","plot","4826293","202070CQPEA_boli_rep2_P13_15","2","2","15","5","3","check","","4","37.6536259541984","57.6","76.64","20.6","38.32","1","3","1","62","35.22","","8","20","4","293.8","46.8","5","3","1","1","3","81","2975","355","0","19","2","4","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","54056","PER183","","plot","4826307","202070CQPEA_boli_rep2_PER183_14","2","2","14","4","3","test","","4","32.4695890410959","51.4","58.84","30.18","29.42","1","4","1","39","27.6","","9","20","3","346.6","22.6","5","3","1","1","2","51","3220","300","0","20","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","140368","SM1127-8","","plot","4826297","202070CQPEA_boli_rep2_SM1127-8_19","2","2","19","2","4","test","","4","36.9556928838951","121.4","77.52","28.92","38.76","1","5","1","53","35.42","","12","20","3","345.4","17.8","5","1","1","2","2","80","3020","350","0","20","2","2","1","1"," (Operator: lizbethpino, Time: ), Ramificación muy extendida, raíces de medianas a gruesas. (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","211877","SM3106-14","","plot","4826311","202070CQPEA_boli_rep2_SM3106-14_11","2","2","11","1","3","test","","2","41.8415630885122","99.4","67.4","36.37","33.7","3","5","1","37","30.38","","11","20","1","361.8","22.8","5","3","1","1","2","67","3085","430","0","20","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","310088","SM3553-27","","plot","4826313","202070CQPEA_boli_rep2_SM3553-27_18","2","2","18","3","4","test","","2","41.6173114119922","192.6","71.2","34.62","35.6","1","5","1","39","34.24","","17","20","2","390.8","30.2","5","2","1","1","2","47","3000","415","0","20","2","2","1","1"," (Operator: lizbethpino, Time: ), Planta con tallos largos con forma tipo ""s"". Raíces adecuadas en tamaño para el consumo. (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","323155","SM3677-74","","plot","4826303","202070CQPEA_boli_rep2_SM3677-74_13","2","2","13","3","3","test","","3","37.6350902527076","133.6","64.08","33","32.04","1","5","1","53","27.62","","15","20","1","359.6","30.6","5","2","1","2","3","82","3145","375","0","19","2","4","1","5"," (Operator: lizbethpino, Time: ), Plantas don ramificación alta de porte erecto y raíces alargadas poco gruesas (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","166651","GM214-62","","plot","4826299","202070CQPEA_boli_rep3_GM214-62_22","3","3","22","2","5","test","","1","41.7527953410982","114.6","75.72","28.61","37.86","1","5","1","45","34.26","","24","20","3","310","32.4","5","2","1","1","2","52","3490","485","0","20","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","323528","GM3594-70","","plot","4826296","202070CQPEA_boli_rep3_GM3594-70_27","3","3","27","4","6","test","","4","36.8283802816901","36.8","16.8","13.58","8.4","3","5","1","17","6.74","","10","20","3","355.8","31.6","5","2","1","4","3","33","3210","370","0","20","2","4","1","5"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","322010","GM3650-51","","plot","4826306","202070CQPEA_boli_rep3_GM3650-51_21","3","3","21","1","5","test","","4","33.1556214149139","97.2","57.48","31.7","28.74","1","5","1","30","25.58","","18","20","4","361.6","28.4","5","2","1","2","3","46","2895","280","0","20","2","2","1","6"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","309095","GM3790-2","","plot","4826308","202070CQPEA_boli_rep3_GM3790-2_28","3","3","28","3","6","test","","2","38.3290157480315","184.4","74.56","19.32","37.28","1","5","1","48","35.68","","12","20","1","315.8","30.4","5","2","1","2","2","64","2895","355","0","19","2","2","1","3"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","2486737","P13","","plot","4826314","202070CQPEA_boli_rep3_P13_24","3","3","24","4","5","check","","4","37.7786541737649","35.2","64.12","17.36","32.06","1","3","1","48","25","","6","20","4","283.6","36.6","5","3","1","2","2","81","3335","400","0","20","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","54056","PER183","","plot","4826312","202070CQPEA_boli_rep3_PER183_23","3","3","23","3","5","test","","4","33.6972928176795","67.2","72.96","32.88","36.48","1","4","1","43","35.46","","21","20","3","358.8","20","5","3","1","1","2","49","3015","300","0","19","2","3","2","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","140368","SM1127-8","","plot","4826290","202070CQPEA_boli_rep3_SM1127-8_29","3","3","29","2","6","test","","2","37.6946271510516","155.8","77","24.39","38.5","1","5","1","53","33.8","","17","20","1","332","16.6","5","1","1","2","2","98","2970","355","0","20","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","211877","SM3106-14","","plot","4826302","202070CQPEA_boli_rep3_SM3106-14_26","3","3","26","5","6","test","","3","35.9925","90","60.04","26.94","30.02","2","5","1","45","26.14","","10","20","2","332.2","15.6","5","2","1","1","2","70","3105","345","0","20","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","310088","SM3553-27","","plot","4826295","202070CQPEA_boli_rep3_SM3553-27_25","3","3","25","5","5","test","","1","44.072676056338","246.5","72.32","30.84","36.16","1","5","1","52","34.5","","28","20","2","364.4","23.6","5","2","1","2","2","63","3340","500","0","20","3","2","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","323155","SM3677-74","","plot","4826288","202070CQPEA_boli_rep3_SM3677-74_30","3","3","30","1","6","test","","3","38.1682402707276","135.4","61.2","23.8","30.6","1","5","1","56","27.74","","12","20","2","330.2","19","5","2","1","3","3","76","3365","410","0","20","2","4","1","5"," (Operator: lizbethpino, Time: ), Plantas de porte alto (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","166651","GM214-62","","plot","4826946","202071CQPEA_cpal_rep1_GM214-62_5","1","1","5","5","1","test","","2","42.3969064748201","126.6","40.16","15.6","20.08","","4","2","30","15.22","","33","20","2","363.6","48.4","5","2","1","1","2","63","3240","460","0","19","1","2","2","1"," (Operator: lizbethpino, Time: ), Ramificación alta, de 2 a 3 tallos por planta (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","323528","GM3594-70","","plot","4826922","202071CQPEA_cpal_rep1_GM3594-70_4","1","1","4","4","1","test","","3","38.2576717557252","130","14.24","7.59","7.12","","5","1","6","3.62","","9","20","3","343.333333333333","47.3333333333333","4","3","1","2","2","25","2985","365","0","3","2","2","1","5"," (Operator: lizbethpino, Time: ), Parcela con solo 3 plantas en evaluación que corresponden al genotipo. (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","322010","GM3650-51","","plot","4826941","202071CQPEA_cpal_rep1_GM3650-51_1","1","1","1","1","1","test","","4","33.4848591549296","72.6","35.36","9.25","17.68","","4","3","23","12.54","","14","20","3","287.4","41.8","5","2","1","2","2","59","3150","310","0","20","2","3","1","5","Algunas plantas con raíces fibrosas sin engrosar. (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","309095","GM3790-2","","plot","4826924","202071CQPEA_cpal_rep1_GM3790-2_9","1","1","9","2","2","test","","2","40.4144705882352","211.6","36.08","14.135","18.04","","2","1","29","13.9","","16","20","2","289.8","42.6","5","2","1","3","2","52","2940","390","0","19","3","2","2","2"," (Operator: lizbethpino, Time: ), Raíces de buen tamaño, apto para el consumo (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","2486737","P13","","plot","4826929","202071CQPEA_cpal_rep1_P13_10","1","1","10","1","2","check","","3","35.3403296703297","30.4","29.24","11.355","14.62","","2","1","16","7.16","","4","20","4","177.8","43","5","3","1","2","2","60","3060","330","0","15","2","4","2","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","54056","PER183","","plot","4826935","202071CQPEA_cpal_rep1_PER183_8","1","1","8","3","2","test","","4","33.1967620751342","74","41","20.645","20.5","","4","1","27","16.4","","15","20","3","304","57","5","3","1","1","2","44","3095","300","0","19","2","2","1","1","Algunas raíces tienden a ser entre cónicas y cónico cilíndricas. (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","140368","SM1127-8","","plot","4826928","202071CQPEA_cpal_rep1_SM1127-8_3","1","1","3","3","1","test","","3","40.3418439716312","141.6","50.38","14.16","25.19","","4","1","26","16.44","","15","20","2","349","27.8","5","2","1","1","2","76","3250","430","0","20","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","211877","SM3106-14","","plot","4826923","202071CQPEA_cpal_rep1_SM3106-14_7","1","1","7","4","2","test","","1","41.4735229357798","131.6","39.44","16.87","19.72","","4","1","28","12.24","","14","20","1","396.4","49","5","2","1","3","2","71","3160","435","0","19","2","2","1","1"," (Operator: lizbethpino, Time: ), Raíces medianas, corteza morada (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","310088","SM3553-27","","plot","4826936","202071CQPEA_cpal_rep1_SM3553-27_2","1","1","2","2","1","test","","4","42.8447553816047","145.4","44.8","13.18","22.4","","4","1","32","16.68","","11","20","1","344.2","35","5","2","1","2","2","65","2985","430","0","20","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","323155","SM3677-74","","plot","4826934","202071CQPEA_cpal_rep1_SM3677-74_6","1","1","6","5","2","test","","3","40.9505378271782","189.8","53.64","24.01","26.82","","5","2","42","21.44","","32","20","1","388.8","44.8","5","3","1","2","3","67","3225","436","0","18","3","4","1","6"," (Operator: lizbethpino, Time: ), Raíces con buen tamaño y alargadas (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","166651","GM214-62","","plot","4826938","202071CQPEA_cpal_rep2_GM214-62_19","2","2","19","2","4","test","","1","40.4453874538745","144.8","56.2","25.3","28.1","","4","1","28","17.42","","17","20","2","387.2","38.8","5","2","1","1","2","78","3125","415","0","20","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","323528","GM3594-70","","plot","4826918","202071CQPEA_cpal_rep2_GM3594-70_18","2","2","18","3","4","test","","5","38.6934317343173","52.4","19.48","16.7","9.74","","5","2","12","5.66","","6","20","3","435.4","75.4","5","3","1","3","2","37","3095","385","0","5","2","2","1","5"," (Operator: lizbethpino, Time: ), Ramificación extendida, únicamente se encuentran 3 plantas en la parcela (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","322010","GM3650-51","","plot","4826930","202071CQPEA_cpal_rep2_GM3650-51_13","2","2","13","3","3","test","","4","34.3805925925926","125.6","32.48","28.83","16.24","","4","3","13","9.5","","18","20","2","378.2","57.2","5","2","1","3","3","50","3010","310","0","20","2","2","1","5"," (Operator: lizbethpino, Time: ), Varias plantas con raíces fibrosas sin engrosar y alargadas. Color del tallo tipo amarillo. (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10547","202071CQPEA_cpal","202071CQPEA_cpal","RCBD","4","5","","no","no","2020-October-08","2021-October-25","426","Corpoica Palmira","309095","GM3790-2","","plot","4826921","202071CQPEA_cpal_rep2_GM3790-2_20","2","2","20","1","4","test","","2","38.5596946564885","155.8","38.68","14.06","19.34","","3","1","20","10.88","","12","20","1","295.2","34","5","2","1","3","2","51","2990","370","0","19","2","2","1","2","Corteza gruesa, muestra de raíces delgada (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
